"","city","code"
"9","Atlanta","ATXR"
"11","Boston","BOXR"
"17","Cleveland","CEXR"
"10","Chicago","CHXR"
"14","Charlotte","CRXR"
"19","Dallas","DAXR"
"12","Detroit","DEXR"
"5","Denver","DNXR"
"15","Las Vegas","LVXR"
"2","Los Angeles","LXXR"
"7","Miami","MIXR"
"13","Minneapolis","MNXR"
"16","New York","NYXR"
"1","Phoenix","PHXR"
"18","Portland","POXR"
"3","San Diego","SDXR"
"20","Seattle","SEXR"
"4","San Francisco","SFXR"
"22","20-city Index","SPCS20R"
"8","Tampa","TPXR"
"6","Washington, D.C.","WDXR"
